bin,lower,upper,count,mean_score,observed_rate,score_type,model
0,0.0,0.1,128,0.026533073629252613,0.03125,raw,hybrid
1,0.1,0.2,35,0.1388256860630853,0.17142857142857143,raw,hybrid
2,0.2,0.30000000000000004,21,0.2366759982847032,0.42857142857142855,raw,hybrid
3,0.30000000000000004,0.4,13,0.3335474660763374,0.5384615384615384,raw,hybrid
4,0.4,0.5,9,0.4605492485894097,0.7777777777777778,raw,hybrid
5,0.5,0.6000000000000001,8,0.5493004024028778,0.375,raw,hybrid
6,0.6000000000000001,0.7000000000000001,10,0.6518281459808349,0.6,raw,hybrid
7,0.7000000000000001,0.8,5,0.7487265348434449,0.8,raw,hybrid
8,0.8,0.9,9,0.8538622657457987,1.0,raw,hybrid
9,0.9,1.0,52,0.9628041638777807,0.9807692307692307,raw,hybrid
0,0.0,0.1,124,0.030477088185450626,0.024193548387096774,calibrated,hybrid
1,0.1,0.2,35,0.15433572828037698,0.2,calibrated,hybrid
2,0.2,0.30000000000000004,22,0.25848971658658476,0.3181818181818182,calibrated,hybrid
3,0.30000000000000004,0.4,13,0.3555040220537244,0.6153846153846154,calibrated,hybrid
4,0.4,0.5,5,0.4405263735441746,0.6,calibrated,hybrid
5,0.5,0.6000000000000001,12,0.5419944008482315,0.5833333333333334,calibrated,hybrid
6,0.6000000000000001,0.7000000000000001,10,0.6624381735540046,0.5,calibrated,hybrid
7,0.7000000000000001,0.8,6,0.7427330567019869,0.6666666666666666,calibrated,hybrid
8,0.8,0.9,9,0.8510692522357515,1.0,calibrated,hybrid
9,0.9,1.0,54,0.9657201877056055,0.9814814814814815,calibrated,hybrid
